	doc_id	OID	GID	oriSent	genSent	repToken	perplexity	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	isTrueBug	isCorefKeep	oriDepth	newDepth	depthConsistent
0	pt/nt/42/nt_4219	2	0	I wrapped it in a piece of cloth and hid it.	I wrapped it in a roll of cloth and hid it.	piece -> roll	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
1	pt/nt/42/nt_4219	2	1	I wrapped it in a piece of cloth and hid it.	I wrapped it in a ball of cloth and hid it.	piece -> ball	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
2	pt/nt/42/nt_4219	2	2	I wrapped it in a piece of cloth and hid it.	I wrapped it in a twist of cloth and hid it.	piece -> twist	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
3	pt/nt/42/nt_4219	2	3	I wrapped it in a piece of cloth and hid it.	I wrapped it in a corner of cloth and hid it.	piece -> corner	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
4	pt/nt/42/nt_4219	2	4	I wrapped it in a piece of cloth and hid it.	I wrapped it in a layer of cloth and hid it.	piece -> layer	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
5	pt/nt/42/nt_4219	2	5	I wrapped it in a piece of cloth and hid it.	I wrapped it in a staple of cloth and hid it.	piece -> staple	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
6	pt/nt/42/nt_4219	2	6	I wrapped it in a piece of cloth and hid it.	I wrapped it in a kind of cloth and hid it.	piece -> kind	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
7	pt/nt/42/nt_4219	2	7	I wrapped it in a piece of cloth and hid it.	I wrapped it in a pair of cloth and hid it.	piece -> pair	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
8	pt/nt/42/nt_4219	2	8	I wrapped it in a piece of cloth and hid it.	I wrapped it in a sort of cloth and hid it.	piece -> sort	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
9	pt/nt/42/nt_4219	2	9	I wrapped it in a piece of cloth and hid it.	I wrapped it in a band of cloth and hid it.	piece -> band	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
